Job Title,Job Level,Location,Job Type,Hiring Institute
Talent Acquisition Specialist (m/w/d),Personal,Köln,Vollzeit,Carl Remigius Fresenius Education GmbH
Honorardozenten (m/w/d),"Honorardozenten, Hochschullehre",München,Honorarbasis,Hochschulen Fresenius GmbH
Lehrbeauftragte (m/w/d),"Berufsschullehre, Honorardozenten",Melle,Honorarbasis,Ludwig Fresenius Schulen GmbH
Lehrbeauftragte (m/w/d),"Berufsschullehre, Honorardozenten",Zwickau,Honorarbasis,Ludwig Fresenius Schulen gem. GmbH
Lehrbeauftragte (m/w/d),"Berufsschullehre, Honorardozenten",Wolfsburg,Honorarbasis,Ludwig Fresenius Schulen gem. GmbH
Lehrbeauftragte (m/w/d),"Berufsschullehre, Honorardozenten",Weyhe,Honorarbasis,Ludwig Fresenius Schulen gem. GmbH
Lehrbeauftragte (m/w/d),"Berufsschullehre, Honorardozenten",Stadthagen,Honorarbasis,Ludwig Fresenius Schulen gem. GmbH
Lehrbeauftragte (m/w/d),"Berufsschullehre, Honorardozenten",Oldenburg,Honorarbasis,Ludwig Fresenius Schulen gem. GmbH
Lehrbeauftragte (m/w/d),"Berufsschullehre, Honorardozenten",Mühlhausen,Honorarbasis,Ludwig Fresenius Schulen gem. GmbH
Lehrbeauftragte (m/w/d),"Berufsschullehre, Honorardozenten",Minden,Honorarbasis,Ludwig Fresenius Schulen GmbH
